english,reference_odia,greedy_prediction_odia
Primary investigation reveals that Harish along with his team of folk artists was travelling in connection with an event.,ପ୍ରାଥମିକ ଅନୁସନ୍ଧାନରୁ ଜଣାଯାଇଛି ଯେ ହାରିସ ଓ ତାଙ୍କ ସାଥୀ କଳାକାରମାନେ ଏକ କାର୍ଯ୍ୟକ୍ରମରେ ଯୋଗଦେବାକୁ ଯାଉଥିଲେ।,ଏହି ଅବସରରେ ତାଙ୍କ ସହ ଏକ କାର୍ଯ୍ୟକ୍ରମରେ ଉପସ୍ଥିତ ଥିଲେ।
"Police reached the spot, seized the body and sent it for post-mortem.",ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ମୃତଦେହକୁ ଚିହ୍ନଟ କରି ଜବତ କରିବା ସହ ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇଛି।,ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ମୃତଦେହକୁ ଜବତ କରି ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇଛି।
"I have full faith that you will in a similar manner, continue to carry out your responsibilities and duties in the time to come.","ମୋର ଭରସା ଅଛି ଯେ ଆଗାମୀ ଦିନରେ ମଧ୍ୟ ଆପଣମାନେ ନିଜ କର୍ତ୍ତବ୍ୟ, ନିଜ ଦାୟିତ୍ୱକୁ ଏପରି ନିର୍ବାହ କରିବେ ।",ମୁଁ ଆପଣଙ୍କ ପାଇଁ ଆପଣ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ
Dew point:,ତୁଷାର ବିନ୍ଦୁ:,ବୃଷ:
But no final decision has been taken on this yet.,ମାତ୍ର ଏହି ଯୋଜନାକୁ ନେଇ ଏଯାଏଁ କୌଣସି ଚୁଡ଼ାନ୍ତ ନିଷ୍ପତ୍ତି ନିଆଯାଇନାହିଁ।,କିନ୍ତୁ ଏ ପର୍ଯ୍ୟନ୍ତ କୌଣସି ନିଷ୍ପତ୍ତି ହୋଇନାହିଁ।
"Meanwhile, good news is coming from India.",ଅନ୍ୟପଟେ ଭାରତ ପାଇଁ ଆସିଛି ଏକ ଖୁସି ଖବର ।,ଭାରତରୁ ଭଲ ଖବର ପାଇବାର ଅଛି।
"Gupta also worked as the Director of National Institute of Financial Management (NIFM), Faridabad.","ସେ ମଧ୍ୟ ଜାତୀୟ ଆର୍ଥିକ ପ୍ରବନ୍ଧନ ପ୍ରତିଷ୍ଠାନ (ଏନଆଇଏଫଏମ), ଫରିଦାବାଦର ନିର୍ଦ୍ଦେଶକ ଭାବେ କାର୍ଯ୍ୟ କରିଥିଲେ ।",ସେହିପରି କେନ୍ଦ୍ର (ଏନ)ର ମୁଖ୍ୟ ଅତିଥି ଭାବେ ଯୋଗ ଦେଇଥିଲେ ।
He later was let off.,ତେବେ ପରେ ତାଙ୍କୁ ଛାଡ଼ି ଦେଇଥିଲେ।,ପରେ ତାଙ୍କୁ ସେ ସେଠାରୁ ଚାଲିଗଲା।
Expenses will increase.,ବ୍ୟୟ ବଢ଼ିବ।,ଆପଣଙ୍କ ଉପରେ ବୃଦ୍ଧି ହେବ।
They informed police.,ସେମାନେ ନିଜକୁ ପୁଲିସର ପରିଚୟ ଦେଇଥିଲେ।,ସେମାନେ ପୋଲିସକୁ ଖବର ଦେଇଥିଲେ।
Thine hands have made me and fashioned me together round about. yet thou dost destroy me.,"ହେ ପରମେଶ୍ବର, ତୁମ୍ଭେ ମାେତେ ତୁମ୍ଭ ହାତ ରେ ଗଢ଼ିଛ। ମାରେ ଶରୀରକୁ ତୁମ୍ଭେ ନିର୍ମାଣ କରିଛ। କିନ୍ତୁ ବର୍ତ୍ତମାନ ତୁମ୍ଭେ ବଦଳିଛ ଏବଂ ମାେତେ ଧ୍ବଂସ କରିଛ।",ତୁମ୍ଭେ ମାେତେ କାମ କରିଛବିତା'ର ଅଧିକାରର କଥା ନୁହେଁ।
The driver was killed on the spot and two other passengers were seriously injured.,ଏଥିରେ ଡ୍ରାଇଭର ଗୁରୁତର ହୋଇଥିବା ସହ ଅନ୍ୟ ଦୁଇ ଜଣ ଆହତ ହୋଇଛନ୍ତି।,ଫଳରେ ଘଟଣାସ୍ଥଳରେ ଗୁରୁତର ଆହତ ହୋଇଛନ୍ତି।
The development of our pharma sector has been possible due to technical strengths like the Council of Scientific and Industrial Research labs i.e. CSIR labs.,"ସାଥୀଗଣ, ଆମର ଫାର୍ମା ସେକ୍ଟରର ବିକାଶ ପଛରେ ଭାରତୀୟ ବିଜ୍ଞାନ ଓ ଶିଳ୍ପ ଗବେଷଣା ପରିଷଦର ବିଜ୍ଞାନାଗରମାନଙ୍କର ଅର୍ଥାତ୍ ସିଏସଆଇଆର ପରୀକ୍ଷାଗାରମାନଙ୍କର ପ୍ରଯୁକ୍ତିଗତ ସାମର୍ଥ୍ୟ ରହିଛି ।",ଏହି କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ ଏବଂ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ କ୍ଷେତ୍ରରେ ବିକାଶ ଦିଗରେ କାର୍ଯ୍ୟ କରୁଛନ୍ତି ।
People in the locality are suffering.,ଫଳରେ ସ୍ଥାନୀୟ ଅଞ୍ଚଳରେ ନାହିଁ ନ ଥିବା ଅସୁବିଧାର ସମ୍ମୁଖୀନ ହେଉଛନ୍ତି ଲୋକେ।,ଲୋକେ ସ୍ଥାନୀୟ ଲୋକେ ବହୁ ଲୋକ ଆହତ ହୋଇଛନ୍ତି।
Auto Scroll,ସ୍ୱୟଂ ସ୍କ୍ରୋଲ, ⁇ S ⁇ S ⁇ S ⁇ o ⁇ o ⁇ o ⁇ o ⁇ o ⁇ 
"Swara, however, is still active on other social media platforms -- Facebook and Instagram.",ତଥାପି ଇନ୍ଷ୍ଟାଗ୍ରାମ ଓ ସୋସିଆଲ ମିଡିଆର ଅନ୍ୟ ସାଇଟ୍ରେ ସକ୍ରିୟ ଥିଲେ ଅପସରା।,"ତେବେ ଏହି ଫଟୋ, ସୋସିଆଲ ମିଡିଆରେ ଭାଇରାଲ ହେବାରେ ଲାଗିଛି।"
"One person was declared dead, while one more was critically injured and has been shifted to a Hospital.",ଘଟଣା ସ୍ଥଳରେ ଜଣଙ୍କର ମୃତ୍ୟୁ ଘଟିଥିବା ବେଳେ ଜଣେ ଗୁରୁତର ଅବସ୍ଥାରେ ହସ୍ପିଟାଲରେ ଭର୍ତ୍ତି କରାଯାଇଥିବା ସୂଚନା ମିଳିଛି ।,ଗୁରୁତର ଅବସ୍ଥାରେ ଜିଲ୍ଲା ମୁଖ୍ୟ ଚିକିତ୍ସାଳୟରେ ଭର୍ତ୍ତି କରାଯାଇଛି ।
Students were awarded with certificates.,ଏଥିରେ କୃତି ଛାତ୍ର ଛାତ୍ରୀଙ୍କୁ ମାନପତ୍ର ସହିତ ପୁରସ୍କାର ପ୍ରଦାନ କରାଯାଇଥିଲା।,ଛାତ୍ରଛାତ୍ରୀ ଓ ଛାତ୍ରଛାତ୍ରୀମାନେ ମଧ୍ୟ ବନ୍ଦ ରହିଥିଲା।
"According to reports, the incident occurred in Kuala Lumpur, Malaysia.",ସୂଚନା ଅନୁଯାୟୀ ଏହି ଘଟଣାଟି ଘଟିଛି କଲମ୍ବିଆରେ ।,"ଏହି ଘଟଣା ଘଟିଛି, ଏହି ଘଟଣା ।"
Ramdayal Uike joined the BJP in the presence of party president Amit Shah and Chhattisgarh chief minister Raman Singh and other leaders in Bilaspur.,"ବିଳାସପୁରଠାରେ ବିଜେପି ରାଷ୍ଟ୍ରୀୟ ଅଧ୍ୟକ୍ଷ ଅମିତ ଶାହ, ଛତିଶଗଡ଼ ମୁଖ୍ୟମନ୍ତ୍ରୀ ରମଣ ସିଂହ ଓ ଅନ୍ୟ ଦଳୀୟ କର୍ମୀଙ୍କ ଉପସ୍ଥିତିରେ ରାମଦୟାଲ ବିଜେପିରେ ମିଶିଛନ୍ତି।","ଏହି କାର୍ଯ୍ୟକ୍ରମରେ ବିଜେପି ରାଷ୍ଟ୍ରୀୟ ଅଧ୍ୟକ୍ଷ ଅମିତ ଶାହ, ବିଜେପି ବିଧାୟକ ଓ ଅମିତ ଶାହଙ୍କ ସମେତ ଅନ୍ୟ ବରିଷ୍ଠ ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ବିଧାୟକ ଦଳ ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ବିଧାୟକ ଦଳ ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା ତଥା ପୂର୍ବତନ ବିଧାୟକ ଦଳ ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା।"
"Prime Minister Narendra Modi and Home Minister, Amit Shah have spoken to the Uttarakhand Chief Minister.",ଏ ସଂକ୍ରାନ୍ତରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଓ ସ୍ୱରାଷ୍ଟ୍ର ମନ୍ତ୍ରୀ ଅମିତ୍ ଶାହାଙ୍କ ସହ କଥା ହୋଇଥିବା ମୁଖ୍ୟମନ୍ତ୍ରୀ ସୂଚନା ଦେଇଥିଲେ ।,ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଓ ଅମିତ ଶାହଙ୍କ କାର୍ଯ୍ୟାଳୟକୁ ନେଇ ମନ୍ତ୍ରୀ ଅମିତ ଶାହଙ୍କ ସହ ଆଲୋଚନା କରିଛନ୍ତି।
However no action has been taken till date.,ହେଲେ ଆଜି ଯାଏ କୌଣସି କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ନିଆଯାଇ ନାହିଁ।,କିନ୍ତୁ ପରବର୍ତ୍ତୀ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରାଯାଇ ନାହିଁ।
Sagittarius: It will be an average day for you.,ବୃଷ : ଦିନଟି ମଧ୍ୟମ ରହିବ।,ବୃଷ: ଦିନଟି ଆପଣଙ୍କ ପାଇଁ ଦିନଟି ଆପଣଙ୍କ ପାଇଁ ଦିନଟି ଆପଣଙ୍କ ପାଇଁ ଦିନଟି ହେବ।
A large number of district level officers were present at the occasion.,ଏହି ଅଭିଯୋଗ ଶୁଣାଣି କାର୍ଯ୍ୟକ୍ରମରେ ବହୁ ଜିଲା ସ୍ତରୀୟ ଅଧିକାରୀମାନେ ଉପସ୍ଥିତ ଥିଲେ।,ଏହି ଅବସରରେ ବହୁ ସଂଖ୍ୟାରେ ଜିଲ୍ଲା ମୁଖ୍ୟ ଶାସନ ସଚିବ ଥିଲେ।
"India, Pakistan and Hong Kong are in Group A while Afghanistan, Bangladesh and Sri Lanka from Group B for the preliminary stage.","ଭାରତ, ପାକିସ୍ତାନ ଓ ହଂକଂ ଗ୍ରୁପ ‘ଏ’ରେ ରହିଥିଲା ବେଳେ ଶ୍ରୀଲଙ୍କା, ବାଂଲାଦେଶ ଓ ଆଫ୍ଗାନିସ୍ତାନ ଗ୍ରୁପ୍ ‘ବି’ରେ ସ୍ଥାନ ପାଇଛନ୍ତି।",ଭାରତ ଓ ପାକିସ୍ତାନ ମଧ୍ୟରେ ଭାରତ ଓ ପାକିସ୍ତାନ ମଧ୍ୟରେ ସମ୍ପର୍କ ରହିଛି।
"And all the city was moved, and the people ran together: and they took Paul, and drew him out of the temple: and forthwith the doors were shut.",ପୁରା ନଗରଟା ରେ ଉତ୍ତଜେନା ସୃଷ୍ଟି ହାଇଗେଲା। ଲୋକମାନେ ଏକାଠି ଦୌଡ଼ି ଯାଇ ପାଉଲଙ୍କୁ ମନ୍ଦିର ଭିତରୁ ଟାଣି ନଇେ ଗଲେ। ସଙ୍ଗେ ସଙ୍ଗେ ଦ୍ବାର ଗୁଡ଼ିକ ବନ୍ଦ ହାଇଗେଲା।,"""ତା'ପରେ ସହେି ଲୋକ ଓ ୟଜ୍ଞ ଓ ସମାନେେ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ସହେି ଲୋକମାନଙ୍କୁ ଅଖ୍ଯ ରେ ଲୋକମାନେ ସହେି ସ୍ଥାନ ରେ ଥିବା ସମସ୍ତ ଲୋକଙ୍କୁ ସହେି ସ୍ଥାନ ରେ ପକାଇ ଦେଲେ।"
Be careful how you use it.,ଏହାକୁ ବ୍ୟବହାର କରୁଥିଲେ ସତର୍କ ହୋଇ ଯାଆନ୍ତୁ।,ଆପଣ ଏହାର ବ୍ୟବହାର କରନ୍ତୁ କି ନାହିଁ ।
The step has been taken for his safety.,ତାଙ୍କ ସୁରକ୍ଷା ଦୃଷ୍ଟିରୁ ଏପରି ପଦକ୍ଷେପ ନିଆଯାଇଛି।,ଏଥିପାଇଁ ନିଜର ପଦକ୍ଷେପ ଗ୍ରହଣ କରାଯାଇଛି।
"""""""Murders are happening in the state every day.""",‘‘ପ୍ରତିଦିନ ରାଜ୍ୟରେ ଦୁଷ୍କର୍ମ ଘଟଣା ଘଟୁଛି।,“କାରେ ରାଜ୍ୟରେ ଏବେ ରାଜ୍ୟରେ ଏବେ କରୋନା ଭାଇରସ।
Day after day after day.,ଦିନ ପରେ ଦିନ ବିତିଲା।,ଦିନ ପରେ ଦିନ ଦିନ ପରେ ଦିନ ବଢ଼ିବାରେ ଲାଗିଛି।
Hundreds of trucks and passenger vehicles were stranded on the highway.,"ଏ ନେଇ ଶତାଧିକ ଟ୍ରକ୍, ଯାତ୍ରୀବାହୀ ବସ୍ ଚଳାଚଳ ଠପ୍ ହୋଇଯାଇଥିଲା।",ଏହି ସମୟରେ ଗାଡି ଓ ଗାଡି ଚଳାଚଳ ବାଧାପ୍ରାପ୍ତ ହୋଇଛି।
Luv died due to a head injury.,ଲଭ୍ଙ୍କ ମୁଣ୍ଡରେ ଜୋର ଆଘାତ ଲାଗିବାରୁ ତାଙ୍କର ମୃତ୍ୟୁ ହୋଇଯାଇଥିଲା।,ଫଳରେ ଗାଡ଼ିରେ ମୃତ୍ୟୁ ହୋଇଥିବା ବେଳେ ଜଣେ ଗୁରୁତର ଅବସ୍ଥାରେ ମୃତ୍ୟୁ ହୋଇଥିଲା।
The central government challenged this in the Supreme Court.,ଏ ନେଇ କେନ୍ଦ୍ର ସରକାର ସୁପ୍ରିମକୋର୍ଟଙ୍କୁ ଅବଗତ କରିଛନ୍ତି।,ଏ ନେଇ ରାଜ୍ୟ ସରକାର ସୁପ୍ରିମକୋର୍ଟରେ ଆବେଦନ କରିଛନ୍ତି।
Enhancing user experience at all stages.,ସମସ୍ତ ପର୍ଯ୍ୟାରେ ଉପଯୋଗକାରୀ (ୟୁଜର)ମାନଙ୍କୁ ଉନ୍ନତ ଅଭିଜ୍ଞତା ପ୍ରଦାନ କରିବା ।,ସମସ୍ତ ପ୍ରକାରରେ ଉପଲବ୍ଧ କରନ୍ତୁ।
"The two women, however, have not lost hope.",ତଥାପି ମହିଳା ଦ୍ୱୟ ଆଶା ହରାଇ ନାହାନ୍ତି।,ତେବେ ଦୁଇ ମହିଳା ଜଣକ ଦୁଇ ଜଣ ମହିଳା ଜଣକ ପଡ଼ିନାହିଁ।
The UNSC comprises 15 members including 10 non-permanent and 5 permanent members.,ମିଳିତ ଜାତିସଂଘ ସୁରକ୍ଷା ପରିଷଦରେ ମୋଟ ୧୫ ଜଣ ସଦସ୍ୟ ଥିବାବେଳେ ଏମାନଙ୍କ ମଧ୍ୟରେ ୫ ଜଣ ସ୍ଥାୟୀ ଓ ୧୦ ଜଣ ଅସ୍ଥାୟୀ ଭାବେ ସଦସ୍ୟ ରହିଛନ୍ତି।,ଏହି ଦୁଇଟି ପର୍ଯ୍ୟାୟରେ ୫ଟି ରାଜ୍ୟ ୫ଟି ରାଜ୍ୟ ୫ଟି ରାଜ୍ୟ ୫ଟି ରାଜ୍ୟ ୫ଟି ରାଜ୍ୟ ୫ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ଓ ୧୦ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୯ଟି ରାଜ୍ୟ ୫୦୦ ।
ICJ begins hearing in Kulbhushan Jadhav case,କୁଳଭୂଷଣ ଯାଦବ ମାମଲାରେ ଆଇସିଜେରେ ଶୁଣାଣି ଆରମ୍ଭ,ତେବେ ଏହି ମାମଲାରେ ୨୪ର ମୁଖ୍ୟ ବିଚାରପତି ଭାବେ ଶପଥ ଗ୍ରହଣ କରିଛନ୍ତି।
The banner aimed at highlighting the women achievers of the country was hoisted at a function held to promote education for girls in south Kashmirs Kokernag area.,ଦକ୍ଷିଣ କଶ୍ମୀରର କୋକେରନାଗ୍ ଅଞ୍ଚଳରେ ଗତକାଲି ନାରୀ ଶିକ୍ଷାକୁ ଗୁରୁତ୍ୱ ଦେଇ ଆୟୋଜିତ ହୋଇଥିବା ଏକ ଉତ୍ସବରେ ଭାରତର ସଫଳ ମହିଳାମାନଙ୍କୁ ନେଇ ପ୍ରସ୍ତୁତ ହୋଇଥିବା ଏକ ‘ବେଟି ବଚାଓ ବେଟି ପଢାଓ ପୋଷ୍ଟର’ର ଉନ୍ମୋଚିତ ହୋଇଥିଲା।,ଜାମ୍ମୁ-କାଶ୍ମୀରରେ ବିଭିନ୍ନ ସ୍ଥାନରେ ଘାସାଦେଶକୁ ନେଇ ବିଭିନ୍ନ ସ୍ଥାନରେ ଘୂଚାଇ ଦେଇଛନ୍ତି ।
Everyone is shocked after his demise.,ତାଙ୍କ ମୃତ୍ୟୁ ପରେ ସମସ୍ତେ ସ୍ତବ୍ଧ ହୋଇ ଯାଇଛନ୍ତି।,ସମସ୍ତେ ତାଙ୍କ ପ୍ରତି ତାଙ୍କ ପ୍ରତି ଧ୍ୟାନ ଦିଅନ୍ତୁ।
"The size of the partition to create, in megabytes","ନିର୍ମାଣ ହେବାକୁ ଥିବା ବିଭାଜନର ଆକାର, ମେଗାବାଇଟରେ","""ତା'ପରେ ମୁଁ  ⁇ ରେ ପହଞ୍ଚିଲେ, """"%s"""", """"%s'ର ଶୁଭାରମ୍ଭ କରିଥିଲେ।"
"""But there has been no reply.""""""",ବେଟା ସମ୍୤” କିନ୍ତୁ ଆସିଲାନି କିଛି ଉତ୍ତର।,ସେ କହିଛନ୍ତି ଯେ କୌଣସି ପ୍ରକାରତା ନାହିଁ।
The second track was played.,ଦ୍ୱିତୀୟ କଣ୍ଟ ବି ଗଡ଼ିଗଲା।,ଦ୍ୱିତୀୟ ସ୍ଥାନରେ ରହିଛି।
Marvellous Nature!,ଅଦ୍ଭୁତ ଜୀବ!, ⁇ u ⁇ a ⁇ a ⁇ 
For this all preparations have been completed.,ସେଥିପାଇଁ ସମସ୍ତ ପ୍ରସ୍ତୁତି ସରିଲାଣି ।,ଏଥିପାଇଁ ପ୍ରସ୍ତୁତି ଶେଷ ହୋଇଛି।
It works on the One Nation - One Tax principle.,ଏହା ଗୋଟିଏ ରାଷ୍ଟ୍ର- ଗୋଟିଏ ଟିକସ ବ୍ୟବସ୍ଥା ନୀତିରେ ପରିଚାଳିତ ।,ଏହା ଏକ ନୂତନ ଦିଗ ଉପରେ ଏକ ନୂତନ ଦିଗ ଉପରେ ଏକ ନୂତନ ଦିଗ ପ୍ରଦାନ କରିଛନ୍ତି ।
People are gasping for breath.,ଲୋକମାନେ ନିଶ୍ୱାସପ୍ରଶ୍ୱାସ ନେବାରେ କଷ୍ଟ ଅନୁଭବ କରିଥାନ୍ତି।,ଲୋକେ ନିଜ ନିଜ ନିଜ ନିଜ ପାଇଁ ମଧ୍ୟ ଭଲ ଭାବେ କାମ କରୁଛନ୍ତି ।
It helps us relax.,ଏହା ଦ୍ୱାରା ଆମକୁ ଶାନ୍ତି ମିଳିଥାଏ।,ଏହା ଆମ ପାଇଁ ଏହା ମଧ୍ୟ ହୋଇଥାଏ।
"Miffed on this, the Congress members walked out of the House raising slogans against the government.",ଏହାକୁ ନେଇ କଂଗ୍ରେସ ସଭ୍ୟମାନେ ଗୃହର ମଧ୍ୟ ଭାଗକୁ ଆସି ମୁଖ୍ୟମନ୍ତ୍ରୀଙ୍କ ଇସ୍ତଫା ଦାବି କରିବା ସହ ସରକାରୀ ବିରୋଧୀ ସ୍ଲୋଗାନ ଦେଇଥିଲେ ।,ଏହି ସମୟରେ କଂଗ୍ରେସ ନେତା ନରସିଂହ ମିଶ୍ରିତ କରି ବିରୋଧୀ ଦଳ ନେତା ନରସିଂହ ମିଶ୍ରିତ କରିଛନ୍ତି।
Perils of such a move are obvious.,ଏଭଳି ଏକ ଆଭିମୁଖ୍ୟର ବିପଦ ମଧ୍ୟ ସ୍ପଷ୍ଟ।,ଏଭଳି ଏକ ଘଟଣା ଏବେ ବିତା ରହିଛି ।
The youngsters can learn from him.,ତାଙ୍କ ଠାରୁ ଯୁବକମାନେ ବହୁ କିଛି ଶିଖି ପାରିବେ।,ତାଙ୍କଠାରୁ ସେମାନଙ୍କ ମଧ୍ୟରେ ମଧ୍ୟ କରିପାରିବେ ।
The cause of murder is not known.,ହତ୍ୟା ପଛର କାରଣ ଜଣାପଡ଼ିନି।,ହତ୍ୟା କାରଣ ସ୍ପଷ୍ଟ ହୋଇନାହିଁ।
Bollywood actors and celebrities also mourned his death.,ତାଙ୍କ ବିୟୋଗରେ ବଲିଉଡ ତାରକାଙ୍କ ସମେତ ପ୍ରଶଂସକ ବି ଶୋକ ପ୍ରକାଶ କରିଛନ୍ତି।,ବଲିଉଡ୍ ଅଭିନେତା ସୁଶାନ୍ତଙ୍କ ମୃତ୍ୟୁ ମାମଲାରେ ତାଙ୍କ ମୃତ୍ୟୁରେ ମଧ୍ୟ ତାଙ୍କ ମୃତ୍ୟୁରେ ମଧ୍ୟ କରିଛନ୍ତି।
Students protested the move.,ଏହାକୁ ଛାତ୍ରମାନେ ବିରୋଧ କରିବା ସହ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଦାବି କରିଥିଲେ ।,ଛାତ୍ରଛାତ୍ରୀମାନେ ଛାତ୍ରଛାତ୍ରୀମାନେ ଛାତ୍ରଛାତ୍ରୀମାନେ ଛାତ୍ରଛାତ୍ରୀମାନେ ପ୍ରଶ୍ନ ଉଠାଇଥିଲେ।
Business will prosper.,ବେପାରୀବର୍ଗଙ୍କୁ ଧନଲାଭ ହେବ ।,ବ୍ୟବସାୟରୁ ଲାଭ ମିଳିବ।
People were scared.,ଲୋକଙ୍କୁ ଡରାଉଥିଲା ।,ଲୋକେ ଲୋକେ ତାଙ୍କୁ ଦେଖିଥିଲେ।
Its an easy homemade recipe.,ଏହା ସହଜରେ ପ୍ରସ୍ତୁତ ହେଉଥିବା ଏକ ରେସିପି ଅଟେ।,ଏହା ଏକ ବଡ଼ ଭୂମିକା ରହିଛି।
The body was handed over to the family members after the postmortem.,ପୋଷ୍ଟମାର୍ଟମ ପରେ ଶବକୁ ପରିଜନମାନଙ୍କୁ ଦିଆଯାଇଥିଲା।,ଶବ ବ୍ୟବଚ୍ଛେଦ ପରେ ପରିବାର ଲୋକଙ୍କୁ ହସ୍ତାନ୍ତର କରାଯାଇଥିଲା।
Best Music Director - Sanjay Leela Bhansali (Padmaavat),ବେଷ୍ଟ ମ୍ୟୁଜିକ୍ ଡାଇରେକ୍ଟର- ସଞ୍ଜୟ ଲୀଳା ଭଂଶାଳି (ପଦ୍ମାବତ୍),ପୂର୍ବତନ କ୍ରିକେଟର ( ⁇ )
But no result came.,କିନ୍ତୁ ସେଠାରୁ କୌଣସି ଫଳ ସାମ୍ନାକୁ ଆସିଲା ନାହିଁ।,କିନ୍ତୁ କିଛି ସୁଫଳ ମିଳି ନଥିଲା।
We should keep doing whatever it takes for continuing the process.,"ଏଥିପାଇଁ ଆମ ସମସ୍ତଙ୍କୁ ଯାହା କିଛି ବି କରିବାକୁ ପଡ଼ିବ, କରିବା ଉଚିତ ।",ଆମେ ଏହି ପରୀକ୍ଷା ପାଇଁ ଆମେ ପ୍ରସ୍ତୁତ କରିବା ଉଚିତ ।
The situation is unlikely to improve in the near future.,ନିକଟ ଭବିଷ୍ୟତରେ ଏହି ସ୍ଥିତିରେ ସୁଧାର ହେବାର ବହୁତ କମ୍ ସମ୍ଭାବନା ରହିଛି।,ସ୍ଥିତି ଆହୁରି ଅଧିକ ସମୟ ଆହୁରି ଅଧିକ ସମୟ ଅଛି।
He was in America.,ପ୍ରଥମେ ସେ ଆମେରିକାରେ ରହିଥିଲା।,ସେ ଜଣେ ମହିଳା ଥିଲେ।
Nobody can enter the temple during that period.,ଏହି ସମୟରେ ମନ୍ଦିରକୁ କାହାରିକୁ ପ୍ରବେଶ ମଧ୍ୟ କରାଇଦିଆ ଯିବନି।,କେହି ବିଚଳିତ ନ ଥିବା କୌଣସି ପ୍ରକାରରେ ନାହିଁ।
Because they dont feel secure.,କାରଣ ସେମାନେ ସୁରକ୍ଷିତ ମନେକରୁନାହାନ୍ତି ବୋଲି କହିଥିଲେ।,ସେମାନେ ନିର୍ବାଚନ ଲଢିବା ନାହିଁ।
